titulo,autores,fonte,ano,citacoes,resumo,link,pdf_url,pdf_local
"Dinâmicas urbanas e ambientais, representações sociais e práticas docentes","ALM Scabello,",BA da Silva Viana,2022,0,"… A segunda etapa se constituiu, tendo em vista uma melhor visualização espacial, naelaboração de mapas com aportes dasgeotecnologias, com a intenção de espacializar os …",https://www.academia.edu/download/105608585/Ebook_2022_3_SCABELLO_et_al_Dinamicas_urbanas_e_ambientais_representacoes_sociais_e_praticas_docentes.pdf,https://www.academia.edu/download/105608585/Ebook_2022_3_SCABELLO_et_al_Dinamicas_urbanas_e_ambientais_representacoes_sociais_e_praticas_docentes.pdf,
Impactos da pandemia de COVID-19 no ensino de Geografia: a vivência escolar de uma PEI pós-ensino não presencial,GC Alves - 2022 - repositorio.unesp.br,,2022,0,"O presente trabalho pretende analisar os impactos da pandemia de COVID-19 sobre oEnsino de Geografia, em específico as turmas de 8 e 9 ano do Ensino Fundamental II da rede …",https://repositorio.unesp.br/items/9effe3e9-f21d-4f75-a99d-4ddfc386f777,https://repositorio.unesp.br/bitstreams/de9f98ca-d250-4ac8-8728-28b95cbedceb/download,/home/lifa/resultados_geo_emi/pdfs/0103_Impactos da pandemia de COVID-19 no ensino de Geografia_ a vivência escolar de u.pdf
"Cartografia, Geografia e Geoprocessamento: um relato de experiência no curso Técnico de Informática integrado ao Ensino Médio do IFSP-Itapetininga/SP","JRF Silva, DO da Silva - Revista Cogitare, 2021 - ojs.ifsp.edu.br",,2021,0,… de Cartografia e Geografia juntamente com asgeotecnologias. Por meio do uso de mapaslocais … Oensinomédiointegradoao técnico dos Institutos Federais em todo o Brasil reúne as …,https://ojs.ifsp.edu.br/cogitare/article/view/1658,https://ojs.ifsp.edu.br/cogitare/article/download/1658/1207,"/home/lifa/resultados_geo_emi/pdfs/0008_Cartografia, Geografia e Geoprocessamento_ um relato de experiência no curso Téc.pdf"
PROCESSOS DA EDUCAÇÃO CIENTÍFICA EM CURSOS TÉCNICOS DA ESCOLA CIDADÃ INTEGRAL TÉCNICA PLÍNIO LEMOS,"JJA dos Santos, LMB Lopes… - TECNOLOGIAS …, 2021 - dspace.sti.ufcg.edu.br",,2021,0,"… cursos técnicos integrados ouensinomédiointegradoreferem-se ao … 11/2012 explicita que,noensinomédiointegradoà … (recursos naturais,geotecnologiase mapeamento temático) e …",https://dspace.sti.ufcg.edu.br/bitstream/riufcg/26606/1/E-BOOK%20-%20TECNOLOGIAS%20APLICADAS%20%C3%80S%20PESQUISAS%20GEO%2021%20-%20CTRN%202021.pdf#page=121,https://dspace.sti.ufcg.edu.br/bitstream/riufcg/26606/1/E-BOOK%20-%20TECNOLOGIAS%20APLICADAS%20%C3%80S%20PESQUISAS%20GEO%2021%20-%20CTRN%202021.pdf#page=121,
"E agora, para onde vai? proposta de atividade de ensino de cartografia à distância para alunos do ensino médio",SL Morais,",",2021,1,"… escolar e do emprego degeotecnologiasem sala de aula. Posteriormente, será …geotecnologiasno ambiente escolar, por outro lado, existem fatores que se colocam como …",https://www.academia.edu/download/71954304/23194.pdf,https://www.academia.edu/download/71954304/23194.pdf,
As metodologias ativas no processo de ensino-aprendizagem: alguns olhares para além da Cartografia,"ÉG Pires, DM Vallerius - … EMS et al. Geografia física e",geotecnologias,2021,1,"… A partir das diversas metodologias ativas existentes, optou-se por praticá-las junto a umaturma do 1 ano doensinomédiointegradoao técnico do Instituto Federal do Tocantins na …",http://www.precog.com.br/bc-texto/obras/2021pack0389.pdf#page=46,http://www.precog.com.br/bc-texto/obras/2021pack0389.pdf#page=46,/home/lifa/resultados_geo_emi/pdfs/0038_As metodologias ativas no processo de ensino-aprendizagem_ alguns olhares para a.pdf
Mapa Tátil do Instituto Federal de Goiás–Campus Valparaíso: Uma Experiência de Inclusão,"DP da Costa, GC Santos, KS de Castro… - Caderno de Estudos …, 2021 - cadegeo.uff.br",,2021,0,… do mapa tátil do Campus Valparaíso/IFG iniciou-se a partir da construção do croqui docampus onde a equipe optou por associar a utilização de ferramentas degeotecnologias(…,http://www.cadegeo.uff.br/index.php/cadegeo/article/download/81/59,http://www.cadegeo.uff.br/index.php/cadegeo/article/download/81/59,
Nós Propomos! Educação Geográfica na troca de experiências,AC Tazinasso - 2021 - tede.unioeste.br,,2021,2,"… (UPF), o qual se desenvolve com turmas de 2º ano do Centro deEnsinoMédioIntegrado.Por … Alberto Azevedo dos Santos, vinculado ao Sistema LABGIS – Núcleo deGeotecnologias…",https://tede.unioeste.br/handle/tede/5893,https://tede.unioeste.br/bitstream/tede/5893/5/Ana_Caroline_Tazinasso_2021.pdf,/home/lifa/resultados_geo_emi/pdfs/0076_Nós Propomos! Educação Geográfica na troca de experiências.pdf
Uso de histórias em quadrinhos como recurso didático no ensino de Geografia: uma possibilidade para trabalhar a categoria Lugar,"IM Martins, TCC Borges… - Revista de Iniciação à …, 2021 - periodicos2.uesb.br",,2021,0,O presente artigo fez uso das histórias em quadrinhos como um recurso didático objetivandouma aproximação teórica do estudo da categoria geográfica Lugar com a realidade dos …,https://periodicos2.uesb.br/index.php/rid/article/view/9313,https://periodicos2.uesb.br/index.php/rid/article/download/9313/6423,/home/lifa/resultados_geo_emi/pdfs/0082_Uso de histórias em quadrinhos como recurso didático no ensino de Geografia_ uma.pdf
[LIVRO] [B] Tecnologias e educação: Desafios e possibilidades,M Moretto,", CJA Feitoza - 2021 - books.google.com",2021,4,"Tecnologia e Educação: desafios e possibilidades, obra organizada pelas autoras MilenaMoretto e Claudia de Jesus Abreu Feitoza, tem como tema principal a importância do uso das …",https://books.google.com/books?hl=pt-BR&lr=&id=EZAtEAAAQBAJ&oi=fnd&pg=PT55&dq=%22geotecnologias%22+%22ensino+m%C3%A9dio+integrado%22&ots=Fcxwv3-aQW&sig=eogLPIhnTWhdjxXVotDZa1nSI0o,,
